name,level
science,Basic
Malayalam1,Basic
Malayalam2,Conversational
Malayalam3,Fluent
Malayalam4,Basic
Malayalam5,Conversational
Malayalam6,Fluent
Malayalam7,Basic
Malayalam8,Conversational
Malayalam9,Fluent
Malayalam10,Basic
Malayalam11,Conversational
Malayalam12,Fluent
Malayalam13,Basic
Malayalam14,Conversational
Malayalam15,Fluent
Malayalam16,Basic
Malayalam17,Conversational
Malayalam18,Fluent
Malayalam19,Basic
Malayalam20,Conversational
Malayalam21,Fluent
Malayalam22,Basic
Malayalam23,Conversational
Malayalam24,Fluent
Malayalam25,Basic
Malayalam26,Conversational
Malayalam27,Fluent
Malayalam28,Basic
Malayalam29,Conversational
Malayalam30,Fluent
Malayalam31,Basic
Malayalam32,Conversational
Malayalam33,Fluent
Malayalam34,Basic
Malayalam35,Conversational
Malayalam36,Fluent
Malayalam37,Basic
Malayalam38,Conversational
Malayalam39,Fluent
Malayalam40,Basic
Malayalam41,Conversational
Malayalam42,Fluent
Malayalam43,Basic
Malayalam44,Conversational
Malayalam45,Fluent
Malayalam46,Basic
Malayalam47,Conversational
Malayalam48,Fluent
Malayalam49,Basic
Malayalam50,Conversational
Malayalam51,Fluent
Malayalam52,Basic
Malayalam53,Conversational
Malayalam54,Fluent
Malayalam55,Basic
Malayalam56,Conversational
Malayalam57,Fluent
Malayalam58,Basic
Malayalam59,Conversational
Malayalam60,Fluent
Malayalam61,Basic
Malayalam62,Conversational
Malayalam63,Fluent
Malayalam64,Basic
Malayalam65,Conversational
Malayalam66,Fluent
Malayalam67,Basic
Malayalam68,Conversational
Malayalam69,Fluent
Malayalam70,Basic
Malayalam71,Conversational
Malayalam72,Fluent
Malayalam73,Basic
Malayalam74,Conversational
Malayalam75,Fluent
Malayalam76,Basic
Malayalam77,Conversational
Malayalam78,Fluent
Malayalam79,Basic
Malayalam80,Conversational
Malayalam81,Fluent
Malayalam82,Basic
Malayalam83,Conversational
Malayalam84,Fluent
Malayalam85,Basic
Malayalam86,Conversational
Malayalam87,Fluent
Malayalam88,Basic
Malayalam89,Conversational
Malayalam90,Fluent
Malayalam91,Basic
Malayalam92,Conversational
Malayalam93,Fluent
Malayalam94,Basic
Malayalam95,Conversational
Malayalam96,Fluent
Malayalam97,Basic
Malayalam98,Conversational
Malayalam99,Fluent
Malayalam100,Basic
Malayalam101,Conversational
Malayalam102,Fluent
Malayalam103,Basic
Malayalam104,Conversational
Malayalam105,Fluent
Malayalam106,Basic
Malayalam107,Conversational
Malayalam108,Fluent
Malayalam109,Basic
Malayalam110,Conversational
Malayalam111,Fluent
Malayalam112,Basic
Malayalam113,Conversational
Malayalam114,Fluent
Malayalam115,Basic
Malayalam116,Conversational
Malayalam117,Fluent
Malayalam118,Basic
Malayalam119,Conversational
Malayalam120,Fluent
Malayalam121,Basic
Malayalam122,Conversational
Malayalam123,Fluent
Malayalam124,Basic
Malayalam125,Conversational
Malayalam126,Fluent
Malayalam127,Basic
Malayalam128,Conversational
Malayalam129,Fluent
Malayalam130,Basic
Malayalam131,Conversational
Malayalam132,Fluent
Malayalam133,Basic
Malayalam134,Conversational
Malayalam135,Fluent
Malayalam136,Basic
Malayalam137,Conversational
Malayalam138,Fluent
Malayalam139,Basic
Malayalam140,Conversational
Malayalam141,Fluent
Malayalam142,Basic
Malayalam143,Conversational
Malayalam144,Fluent
Malayalam145,Basic
Malayalam146,Conversational
Malayalam147,Fluent
Malayalam148,Basic
Malayalam149,Conversational
Malayalam150,Fluent
Malayalam151,Basic
Malayalam152,Conversational
Malayalam153,Fluent
Malayalam154,Basic
Malayalam155,Conversational
Malayalam156,Fluent
Malayalam157,Basic
Malayalam158,Conversational
Malayalam159,Fluent
Malayalam160,Basic
Malayalam161,Conversational
Malayalam162,Fluent
Malayalam163,Basic
Malayalam164,Conversational
Malayalam165,Fluent
Malayalam166,Basic
Malayalam167,Conversational
Malayalam168,Fluent
Malayalam169,Basic
Malayalam170,Conversational
Malayalam171,Fluent
