Skill,ExperienceLevel
Api,Expert
AWS1,Beginner
AWS2,Intermediate
AWS3,Expert
AWS4,Beginner
AWS5,Intermediate
AWS6,Expert
AWS7,Beginner
AWS8,Intermediate
AWS9,Expert
AWS10,Beginner
AWS11,Intermediate
AWS12,Expert
AWS13,Beginner
AWS14,Intermediate
AWS15,Expert
AWS16,Beginner
AWS17,Intermediate
AWS18,Expert
AWS19,Beginner
AWS20,Intermediate
AWS21,Expert
AWS22,Beginner
AWS23,Intermediate
AWS24,Expert
AWS25,Beginner
AWS26,Intermediate
AWS27,Expert
AWS28,Beginner
AWS29,Intermediate
AWS30,Expert
AWS31,Beginner
AWS32,Intermediate
AWS33,Expert
AWS34,Beginner
AWS35,Intermediate
AWS36,Expert
AWS37,Beginner
AWS38,Intermediate
AWS39,Expert
AWS40,Beginner
AWS41,Intermediate
AWS42,Expert
AWS43,Beginner
AWS44,Intermediate
AWS45,Expert
AWS46,Beginner
AWS47,Intermediate
AWS48,Expert
AWS49,Beginner
AWS50,Intermediate
AWS51,Expert
AWS52,Beginner
AWS53,Intermediate
AWS54,Expert
AWS55,Beginner
AWS56,Intermediate
AWS57,Expert
AWS58,Beginner
AWS59,Intermediate
AWS60,Expert
AWS61,Beginner
AWS62,Intermediate
AWS63,Expert
AWS64,Beginner
AWS65,Intermediate
AWS66,Expert
AWS67,Beginner
AWS68,Intermediate
AWS69,Expert
AWS70,Beginner
AWS71,Intermediate
AWS72,Expert
AWS73,Beginner
AWS74,Intermediate
AWS75,Expert
AWS76,Beginner
AWS77,Intermediate
AWS78,Expert
AWS79,Beginner
AWS80,Intermediate
AWS81,Expert
AWS82,Beginner
AWS83,Intermediate
AWS84,Expert
AWS85,Beginner
AWS86,Intermediate
AWS87,Expert
AWS88,Beginner
AWS89,Intermediate
AWS90,Expert
AWS91,Beginner
AWS92,Intermediate
AWS93,Expert
AWS94,Beginner
AWS95,Intermediate
AWS96,Expert
AWS97,Beginner
AWS98,Intermediate
AWS99,Expert
AWS100,Beginner
AWS101,Intermediate
AWS102,Expert
AWS103,Beginner
AWS104,Intermediate
AWS105,Expert
AWS106,Beginner
AWS107,Intermediate
AWS108,Expert
AWS109,Beginner
AWS110,Intermediate
AWS111,Expert
AWS112,Beginner
AWS113,Intermediate
AWS114,Expert
AWS115,Beginner
AWS116,Intermediate
AWS117,Expert
AWS118,Beginner
AWS119,Intermediate
AWS120,Expert
AWS121,Beginner
AWS122,Intermediate
AWS123,Expert
AWS124,Beginner
AWS125,Intermediate
AWS126,Expert
AWS127,Beginner
AWS128,Intermediate
AWS129,Expert
AWS130,Beginner
AWS131,Intermediate
AWS132,Expert
AWS133,Beginner
AWS134,Intermediate
AWS135,Expert
AWS136,Beginner
AWS137,Intermediate
AWS138,Expert
AWS139,Beginner
AWS140,Intermediate
AWS141,Expert
AWS142,Beginner
AWS143,Intermediate
AWS144,Expert
AWS145,Beginner
AWS146,Intermediate
AWS147,Expert
AWS148,Beginner
AWS149,Intermediate
AWS150,Expert
AWS151,Beginner
AWS152,Intermediate
AWS153,Expert
AWS154,Beginner
AWS155,Intermediate
AWS156,Expert
AWS157,Beginner
AWS158,Intermediate
AWS159,Expert
AWS160,Beginner
AWS161,Intermediate
AWS162,Expert
AWS163,Beginner
AWS164,Intermediate
AWS165,Expert
AWS166,Beginner
AWS167,Intermediate
AWS168,Expert
AWS169,Beginner
AWS170,Intermediate
AWS171,Expert
