Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
SignIn,600,185,135,4384,268.43,0.000%,44.25431,21.26,15.30,492.0
Add Language,600,98043,39,484321,64608.80,52.833%,1.23297,1.44,0.34,1197.6
Update Language,600,228941,147,493941,124585.37,5.333%,1.21090,0.38,0.72,317.8
Delete Language Request,600,38076,5,481195,72164.68,66.500%,1.21010,0.27,0.66,229.3
Add Skills,600,34527,8,485024,55360.28,1.333%,1.20935,0.28,0.74,239.7
Update Skills,600,15142,7,428968,49387.85,1.500%,1.20457,0.34,0.76,288.6
Delete Skills,600,10839,1,482240,49269.51,0.500%,1.20350,0.28,0.77,241.7
Add Educatiom,600,9382,35,481131,38805.08,0.500%,1.20348,0.28,0.83,241.6
Update Education,600,4947,1,491967,32209.89,68.500%,1.20322,0.18,0.86,155.2
Delete Education,600,4063,1,441550,28339.40,0.667%,1.20352,0.27,0.69,231.7
Add Certifications,600,6528,9,479670,31604.96,0.667%,1.20353,0.27,0.78,233.0
Update Certifications,600,4913,5,490163,35244.48,83.667%,1.20313,0.15,0.82,125.2
Delete Certifications,600,4262,3,485535,27601.12,82.500%,1.20378,0.18,0.68,156.8
Add Description,600,9994,3,490150,45006.57,0.167%,1.20388,0.28,0.72,237.0
Share Skill Add,600,81209,68,276316,112051.13,0.000%,.77737,0.17,1.27,225.8
View Manage listing,600,10557,108,392651,28655.84,0.167%,.77721,0.30,0.47,397.5
Toggle Checkbox,600,42292,105,302552,86344.90,17.000%,.75224,0.13,0.44,176.6
Delete Manage Listing,600,36026,93,276011,71676.41,15.833%,.72766,0.13,0.42,176.7
Categories,600,43623,563,325092,50244.15,0.333%,.71480,3.77,0.52,5394.3
Signout,600,3483,34,312099,16404.36,0.500%,.71524,0.15,0.38,210.1
TOTAL,12000,34352,1,493941,78552.30,19.925%,14.24021,7.63,9.10,548.4
